path,domain,bytes,lines,kind,scan_signals,sha256
app/src/main/res/drawable/focus_item_background.xml,resources,513,15,text-static-inventory,network,9cadb3c13cac15ecb72fddfd8f8962e263afc19cd3cee5c212afdc10237669c8
app/src/main/res/drawable/ic_launcher.png,resources,55648,,binary-metadata-only,,b6a0e2da3b3cabb24f407073dc6d3d41c7bf96c3ce0f8a70d8e8b07662afd6d8
app/src/main/res/drawable/item_background.xml,resources,432,13,text-static-inventory,network,45a56b4fe9e01c999048a931d214e0fc69ad5be05220bd368ddb2b6c47bfd926
app/src/main/res/drawable/light_mode_24px.xml,resources,1035,9,text-static-inventory,network,f2735acc98ae6519f94d2483fdeecee8da284a49f58ed7e32cc2d062bc721306
app/src/main/res/drawable/logo0.png,resources,32159,,binary-metadata-only,,eb0d8bc941fb5e2e17a623de5b57c14aa2dca857e72188bf3bcb6bf1ef21bee2
app/src/main/res/drawable/logo0_1.png,resources,213602,,binary-metadata-only,,5129c55494345c1afd629dbf00c8ecf7be34dc3e711f0f18ffa3945dacda433c
app/src/main/res/drawable/now_badge_background.xml,resources,326,7,text-static-inventory,network,dc9807c83f4bdce3f876f54c1f1d471030e8eca7a8e13cd6d4143f352107bff8
app/src/main/res/drawable/playing_bar.xml,resources,231,6,text-static-inventory,network,a65c6a742676d3b155c62f19f2ae6370f73be69ae134eb5907f44a1c98d42a76
app/src/main/res/drawable/playing_dot.xml,resources,188,5,text-static-inventory,network,d889f84cb14a4c58e06201c69f9905efd820b3fb0f66218fe491a4fca202e626
app/src/main/res/drawable/rounded_dark_bottom.xml,resources,217,6,text-static-inventory,network,fc9ced1c8cf6f68c683222fe3b240d326e75934d70e46bb005891c762c42ddd7
app/src/main/res/drawable/rounded_dark_left.xml,resources,213,6,text-static-inventory,network,484b83806c927851b27aa789d247e84586ac9ed5d3b1d9882c3a32ba5bd9c140
app/src/main/res/drawable/rounded_dark_right.xml,resources,215,6,text-static-inventory,network,8b9012e40d91706964194b4f75598655b2af291b669e2a1614b5f07a44469a5a
app/src/main/res/drawable/rounded_light_bottom.xml,resources,218,6,text-static-inventory,network,c632d7849754ec110ea6cf5b52d843d0b378a3b53cb3d97b8151dc4a0ca6b2c3
app/src/main/res/drawable/rounded_white_left.xml,resources,214,6,text-static-inventory,network,4b64309e35aa341e8f655f2e5ba4259f1ed91fd27a50d092de740533d1bcf666
app/src/main/res/drawable/rounded_white_right.xml,resources,216,6,text-static-inventory,network,7e849a3d771b601be3c18b78aa96d452edddd5a76b07937b0027db357bcd0ec1
app/src/main/res/drawable/rounded_white_top.xml,resources,212,6,text-static-inventory,network,f6d48d0ea0c8362a4033c0c1a3fe7281d3ef1e73b5ac35271d7fd4067bfde85b
app/src/main/res/drawable/splash.xml,resources,355,11,text-static-inventory,network,dee76a9b5481bfc44400cf6f244f39e45020776cf90b90358789498bdd395651
app/src/main/res/drawable/volume_off_24px.xml,resources,897,10,text-static-inventory,network,a1c07683cd291aaa9cf788157e0cc06eb6fcd42a13df11d70ac07329916fabf4
app/src/main/res/drawable/volume_up_24px.xml,resources,723,10,text-static-inventory,network,7ef54461b826879f60bd96cdcbf1f890d449f1f3c146d9ab906c54bcc7470f2a
app/src/main/res/layout/activity_main.xml,resources,1095,25,text-static-inventory,network,901fb988561f20d3ab9e6c8242126fdae5e3d4977b2e0576e33bb75334871c86
